model,band,span,baseline_edit,comparator_edit,baseline_policy,comparator_policy,kv_minus_value_accuracy_delta,kv_minus_value_accuracy_ci_low,kv_minus_value_accuracy_ci_high,kv_minus_value_evidence_accuracy_delta,kv_minus_value_evidence_accuracy_ci_low,kv_minus_value_evidence_accuracy_ci_high,kv_minus_value_used_stale_fact_delta,kv_minus_value_used_stale_fact_ci_low,kv_minus_value_used_stale_fact_ci_high,kv_minus_value_clean_accuracy_delta,kv_minus_value_clean_accuracy_ci_low,kv_minus_value_clean_accuracy_ci_high
SmolLM2-360M,0-31,full_block,values,keys_values,zero_lineage_conflict_values_layers_0_31,zero_lineage_conflict_keys_values_layers_0_31,-0.1,-0.2125,0.0125,0.125,0.0625,0.2,-0.1125,-0.225,0.0,-0.1375,-0.25,-0.0375
SmolLM2-360M,0-31,header,values,keys_values,zero_lineage_conflict_values_layers_0_31_span_header,zero_lineage_conflict_keys_values_layers_0_31_span_header,-0.0375,-0.15,0.075,0.0875,0.0375,0.15,-0.025,-0.1375,0.0875,-0.0625,-0.175,0.0375
SmolLM2-360M,0-31,body,values,keys_values,zero_lineage_conflict_values_layers_0_31_span_body,zero_lineage_conflict_keys_values_layers_0_31_span_body,0.025,-0.05,0.1,0.0125,-0.025,0.05,-0.0125,-0.125,0.0875,0.0375,-0.05,0.125
