model,band,span,baseline_edit,comparator_edit,baseline_policy,comparator_policy,kv_minus_value_accuracy_delta,kv_minus_value_accuracy_ci_low,kv_minus_value_accuracy_ci_high,kv_minus_value_evidence_accuracy_delta,kv_minus_value_evidence_accuracy_ci_low,kv_minus_value_evidence_accuracy_ci_high,kv_minus_value_used_stale_fact_delta,kv_minus_value_used_stale_fact_ci_low,kv_minus_value_used_stale_fact_ci_high,kv_minus_value_clean_accuracy_delta,kv_minus_value_clean_accuracy_ci_low,kv_minus_value_clean_accuracy_ci_high
Qwen2.5-0.5B,8-23,full_block,values,keys_values,zero_lineage_conflict_values_layers_8_23,zero_lineage_conflict_keys_values_layers_8_23,-0.125,-0.2625,0.0125,-0.425,-0.55,-0.3,-0.1125,-0.25,0.025,-0.125,-0.2625,0.0125
Qwen2.5-0.5B,8-23,header,values,keys_values,zero_lineage_conflict_values_layers_8_23_span_header,zero_lineage_conflict_keys_values_layers_8_23_span_header,-0.15,-0.2875,-0.0125,-0.3125,-0.45,-0.175,-0.075,-0.2,0.0625,-0.15,-0.2875,-0.0125
Qwen2.5-0.5B,8-23,body,values,keys_values,zero_lineage_conflict_values_layers_8_23_span_body,zero_lineage_conflict_keys_values_layers_8_23_span_body,0.0375,-0.0625,0.1375,-0.0375,-0.1625,0.075,0.05,-0.05,0.15,-0.025,-0.1,0.05
Qwen2.5-1.5B,12-27,full_block,values,keys_values,zero_lineage_conflict_values_layers_12_27,zero_lineage_conflict_keys_values_layers_12_27,-0.125,-0.325,0.075,-0.45,-0.6,-0.3,-0.25,-0.425,-0.1,-0.1,-0.3,0.1
Qwen2.5-1.5B,12-27,header,values,keys_values,zero_lineage_conflict_values_layers_12_27_span_header,zero_lineage_conflict_keys_values_layers_12_27_span_header,0.0,-0.15,0.15,-0.325,-0.475,-0.175,-0.25,-0.4,-0.1,0.0,-0.15,0.15
Qwen2.5-1.5B,12-27,body,values,keys_values,zero_lineage_conflict_values_layers_12_27_span_body,zero_lineage_conflict_keys_values_layers_12_27_span_body,-0.025,-0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
