scope,policy,cases,accuracy,evidence_accuracy,stale_usage_rate,avg_prefix_tokens,avg_latency_ms
paired_domain:user_preference,full_cache,8,0.625,0.625,0.375,1641.5,21349.23646884272
paired_domain:user_preference,zero_lineage_conflict_keys_layers_8_23,8,1.0,1.0,0.0,1641.5,20721.56931774225
paired_domain:user_preference,zero_lineage_conflict_keys_values_layers_8_23,8,1.0,1.0,0.0,1641.5,21458.60814570915
paired_domain:user_preference,zero_lineage_conflict_values_layers_8_23,8,1.0,1.0,0.0,1641.5,20585.424567805603
paired_domain:policy_approval,drop_stale_prompt,4,1.0,1.0,0.0,1589.5,20595.78415658325
paired_domain:policy_approval,full_cache,4,1.0,0.5,0.5,1690.5,20784.55504181329
paired_domain:policy_approval,zero_lineage_conflict_keys_layers_8_23,4,1.0,0.5,0.5,1690.5,20652.564082993194
paired_domain:policy_approval,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,0.5,0.5,1690.5,20545.537270838395
paired_domain:policy_approval,zero_lineage_conflict_values_layers_8_23,4,1.0,0.75,0.25,1690.5,20023.37177086156
paired_domain:crm_followup,drop_stale_prompt,4,1.0,1.0,0.0,1609.25,18287.973520928062
paired_domain:crm_followup,full_cache,4,0.5,0.5,0.5,1712.0,19286.201729555614
paired_domain:crm_followup,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1712.0,17481.88482283149
paired_domain:crm_followup,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1712.0,20187.05477088224
paired_domain:crm_followup,zero_lineage_conflict_values_layers_8_23,4,1.0,1.0,0.0,1712.0,18146.024781046435
paired_domain:deployment_state,drop_stale_prompt,4,1.0,1.0,0.0,1601.0,20605.524906306528
paired_domain:deployment_state,full_cache,4,1.0,0.5,0.0,1712.5,21407.163885538466
paired_domain:deployment_state,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1712.5,20675.54641724564
paired_domain:deployment_state,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1712.5,21361.097645480186
paired_domain:deployment_state,zero_lineage_conflict_values_layers_8_23,4,1.0,0.75,0.0,1712.5,21482.68961440772
paired_domain:tool_trace,drop_stale_prompt,4,1.0,1.0,0.0,1564.75,21256.5928127151
paired_domain:tool_trace,full_cache,4,1.0,0.75,0.25,1669.25,21442.08353140857
paired_domain:tool_trace,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1669.25,21534.05439585913
paired_domain:tool_trace,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1669.25,21966.031353571452
paired_domain:tool_trace,zero_lineage_conflict_values_layers_8_23,4,1.0,1.0,0.0,1669.25,21322.84911465831
paired_domain:task_state,drop_stale_prompt,4,1.0,1.0,0.0,1573.75,19624.570833402686
paired_domain:task_state,full_cache,4,0.75,0.75,0.25,1674.75,19613.416843814775
paired_domain:task_state,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1674.75,21061.277926783077
paired_domain:task_state,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1674.75,19301.73015606124
paired_domain:task_state,zero_lineage_conflict_values_layers_8_23,4,1.0,1.0,0.0,1674.75,20093.45084405504
paired_domain:knowledge_base,drop_stale_prompt,4,1.0,1.0,0.0,1571.5,20604.68033363577
paired_domain:knowledge_base,full_cache,4,1.0,1.0,0.0,1670.75,19090.67631245125
paired_domain:knowledge_base,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1670.75,20880.981250084005
paired_domain:knowledge_base,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1670.75,20224.334593862295
paired_domain:knowledge_base,zero_lineage_conflict_values_layers_8_23,4,1.0,1.0,0.0,1670.75,20777.082666521892
