model,band,span,baseline_edit,comparator_edit,baseline_policy,comparator_policy,kv_minus_value_accuracy_delta,kv_minus_value_accuracy_ci_low,kv_minus_value_accuracy_ci_high,kv_minus_value_evidence_accuracy_delta,kv_minus_value_evidence_accuracy_ci_low,kv_minus_value_evidence_accuracy_ci_high,kv_minus_value_used_stale_fact_delta,kv_minus_value_used_stale_fact_ci_low,kv_minus_value_used_stale_fact_ci_high,kv_minus_value_clean_accuracy_delta,kv_minus_value_clean_accuracy_ci_low,kv_minus_value_clean_accuracy_ci_high
Qwen3-0.6B,9-27,full_block,values,keys_values,zero_lineage_conflict_values_layers_9_27,zero_lineage_conflict_keys_values_layers_9_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-0.6B,9-27,header,values,keys_values,zero_lineage_conflict_values_layers_9_27_span_header,zero_lineage_conflict_keys_values_layers_9_27_span_header,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-0.6B,9-27,body,values,keys_values,zero_lineage_conflict_values_layers_9_27_span_body,zero_lineage_conflict_keys_values_layers_9_27_span_body,0.0,0.0,0.0,0.0,-0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0
